dataset,model,pretrained,train_fraction,train_size,best_val_acc,test_acc,test_top1_err,test_top5_err
cifar10,resnet50,0,1.0,45000,0.9002,0.8961,0.10389999999999999,0.0033
cifar10,resnet50,0,0.5,22500,0.8616,0.8511,0.14890000000000003,0.0053
cifar10,resnet50,0,0.2,9000,0.7478,0.7437,0.2563,0.0172
cifar10,resnet50,0,0.1,4500,0.6678,0.6587,0.34130000000000005,0.0273
cifar10,vit_small_patch16_224,0,1.0,45000,0.6808,0.6796,0.3204,0.0254
cifar10,vit_small_patch16_224,0,0.5,22500,0.632,0.6273,0.37270000000000003,0.0351
cifar10,vit_small_patch16_224,0,0.2,9000,0.5352,0.5281,0.4719,0.0609
cifar10,vit_small_patch16_224,0,0.1,4500,0.4676,0.4548,0.5452,0.0848
cifar10,resnet50,1,1.0,45000,0.962,0.9611,0.038900000000000046,0.0007
cifar10,resnet50,1,0.5,22500,0.9616,0.9573,0.04269999999999996,0.0012
cifar10,resnet50,1,0.2,9000,0.9472,0.9498,0.05020000000000002,0.0012
cifar10,resnet50,1,0.1,4500,0.9336,0.9333,0.06669999999999998,0.0014
cifar10,vit_small_patch16_224,1,1.0,45000,0.9378,0.9339,0.06610000000000005,0.0016
cifar10,vit_small_patch16_224,1,0.5,22500,0.93,0.9281,0.07189999999999996,0.0026
cifar10,vit_small_patch16_224,1,0.2,9000,0.913,0.9086,0.09140000000000004,0.0046
cifar10,vit_small_patch16_224,1,0.1,4500,0.9072,0.9067,0.09330000000000005,0.0039
